count,diff_srv_rate,dst_bytes,dst_host_count,dst_host_diff_srv_rate,dst_host_same_src_port_rate,dst_host_srv_diff_host_rate,duration,hot,last_flag,logged_in,num_compromised,srv_count,srv_diff_host_rate
136,0.06,0,255,0.06,0.0,0.0,0,0,21,0,0,1,0.0
1,0.0,0,134,0.04,0.61,0.02,2,0,21,0,0,1,0.0
1,0.0,0,3,0.0,1.0,0.28,0,0,15,0,0,65,1.0
1,0.0,15,29,0.17,0.03,0.02,1,0,11,0,0,8,0.75
4,0.0,14515,155,0.0,0.01,0.03,0,0,21,1,0,4,0.0
1,0.0,387,255,0.72,0.0,0.0,0,0,21,1,0,3,1.0
1,0.0,174,255,0.0,0.0,0.0,0,0,15,0,0,1,0.0
33,0.0,467,151,0.0,0.01,0.03,0,0,21,1,0,47,0.04
1,0.0,157,52,0.08,0.02,0.0,0,0,7,0,0,1,0.0
1,0.0,0,255,0.01,0.0,0.0,0,0,9,0,0,1,0.0
1,0.0,330,255,0.03,0.0,0.0,0,0,18,1,0,2,1.0
111,0.07,0,255,0.07,0.0,0.0,0,0,21,0,0,2,0.0
120,0.0,0,235,0.07,0.0,0.0,0,0,18,0,0,120,0.0
1,0.0,364200,38,0.05,0.03,0.04,37,0,14,1,0,1,0.0
8,0.0,3610,71,0.0,0.01,0.04,0,0,21,1,0,8,0.0
24,0.0,659,255,0.0,0.0,0.0,0,0,21,1,0,24,0.0
16,0.0,2090,35,0.0,0.03,0.05,0,0,21,1,0,16,0.0
505,0.0,44,255,0.0,1.0,0.0,0,0,15,0,0,505,0.0
204,0.07,0,255,0.07,0.0,0.0,0,0,21,0,0,18,0.0
118,0.05,0,255,0.05,0.0,0.0,0,0,21,0,0,19,0.0
1,0.0,0,255,0.01,0.01,0.0,0,0,18,0,0,1,0.0
17,0.0,1823,255,0.0,0.0,0.0,0,0,21,1,0,17,0.0
17,0.0,1816,36,0.0,0.03,0.02,0,0,21,1,0,18,0.11
116,0.07,0,255,0.06,0.0,0.0,0,0,18,0,0,8,0.0
273,0.06,0,255,0.06,0.0,0.0,0,0,20,0,0,13,0.0
22,0.0,6442,180,0.0,0.01,0.01,0,0,21,1,0,46,0.11
7,0.0,440,255,0.0,0.0,0.0,0,0,21,1,0,7,0.0
511,0.0,0,46,0.0,1.0,0.14,0,0,18,0,0,511,0.0
511,0.0,51,255,0.0,0.83,0.0,0,0,17,0,0,511,0.0
12,0.0,1,241,0.01,0.0,0.0,805,0,14,1,0,12,0.0
1,0.0,281,158,0.06,0.01,0.0,0,0,21,1,0,2,1.0
15,0.0,19794,20,0.0,0.05,0.02,0,0,21,1,0,15,0.0
40,0.38,1,255,0.58,0.99,0.0,0,0,1,0,0,3,0.0
483,1.0,0,255,1.0,0.0,0.0,0,0,19,0,0,1,0.0
2,1.0,44,185,0.03,0.01,0.03,0,0,14,0,0,2,1.0
